Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA
20.00,semiregular,3.00,838.00,310.00,315.00,0.73,0.73,1.37,0.73
21.00,regular,1.00,919.00,21.00,26.00,0.98,0.97,1.03,0.98
21.00,irregular,1.00,201.00,1097.00,1102.00,0.15,0.15,6.39,0.15
21.00,semiregular,1.00,546.00,449.00,454.00,0.55,0.55,1.82,0.55
21.00,regular,2.00,920.00,115.00,120.00,0.89,0.88,1.13,0.89
21.00,irregular,2.00,202.00,1174.00,1179.00,0.15,0.15,6.77,0.15
21.00,semiregular,2.00,547.00,481.00,486.00,0.53,0.53,1.88,0.53
21.00,regular,3.00,920.00,115.00,121.00,0.89,0.88,1.13,0.89
21.00,irregular,3.00,204.00,1126.00,1132.00,0.15,0.15,6.55,0.15
21.00,semiregular,3.00,546.00,480.00,486.00,0.53,0.53,1.88,0.53
22.00,regular,1.00,946.00,39.00,43.00,0.96,0.96,1.05,0.96
22.00,irregular,1.00,246.00,1155.00,1159.00,0.18,0.18,5.69,0.18
22.00,semiregular,1.00,694.00,361.00,366.00,0.66,0.65,1.51,0.66
22.00,regular,2.00,946.00,114.00,118.00,0.89,0.89,1.12,0.89
22.00,irregular,2.00,246.00,1225.00,1230.00,0.17,0.17,5.98,0.17
22.00,semiregular,2.00,699.00,415.00,420.00,0.63,0.62,1.59,0.63
22.00,regular,3.00,946.00,122.00,126.00,0.89,0.88,1.13,0.88
22.00,irregular,3.00,246.00,1160.00,1163.00,0.17,0.17,5.70,0.17
22.00,semiregular,3.00,699.00,414.00,420.00,0.63,0.62,1.59,0.63
23.00,regular,1.00,995.00,52.00,56.00,0.95,0.95,1.05,0.95
23.00,irregular,1.00,258.00,2062.00,2067.00,0.11,0.11,8.74,0.11
23.00,semiregular,1.00,819.00,328.00,333.00,0.71,0.71,1.38,0.71
23.00,regular,2.00,999.00,74.00,79.00,0.93,0.93,1.08,0.93
23.00,irregular,2.00,264.00,2185.00,2190.00,0.11,0.11,9.23,0.11
23.00,semiregular,2.00,828.00,335.00,340.00,0.71,0.71,1.40,0.71
23.00,regular,3.00,997.00,85.00,91.00,0.92,0.92,1.09,0.92
23.00,irregular,3.00,266.00,2144.00,2149.00,0.11,0.11,9.08,0.11
23.00,semiregular,3.00,829.00,364.00,369.00,0.69,0.69,1.43,0.69
24.00,regular,1.00,1072.00,10.00,16.00,0.99,0.99,1.01,0.99
24.00,irregular,1.00,239.00,1480.00,1482.00,0.14,0.14,6.97,0.14
24.00,semiregular,1.00,663.00,160.00,165.00,0.81,0.80,1.22,0.80
24.00,regular,2.00,1053.00,10.00,36.00,0.99,0.97,0.99,0.98
24.00,irregular,2.00,246.00,1584.00,1589.00,0.13,0.13,7.43,0.13
24.00,semiregular,2.00,675.00,163.00,169.00,0.81,0.80,1.24,0.80
24.00,regular,3.00,1042.00,11.00,58.00,0.99,0.95,0.98,0.97
24.00,irregular,3.00,246.00,1584.00,1589.00,0.13,0.13,7.43,0.13
24.00,semiregular,3.00,672.00,162.00,168.00,0.81,0.80,1.24,0.80
25.00,regular,1.00,934.00,6.00,13.00,0.99,0.99,1.00,0.99
25.00,irregular,1.00,204.00,2023.00,2028.00,0.09,0.09,10.78,0.09
25.00,semiregular,1.00,710.00,316.00,322.00,0.69,0.69,1.44,0.69
25.00,regular,2.00,943.00,32.00,38.00,0.97,0.96,1.04,0.96
25.00,irregular,2.00,207.00,1986.00,1989.00,0.09,0.09,10.61,0.09
25.00,semiregular,2.00,711.00,322.00,327.00,0.69,0.68,1.45,0.69
25.00,regular,3.00,910.00,5.00,62.00,0.99,0.94,0.97,0.96
25.00,irregular,3.00,207.00,2009.00,2012.00,0.09,0.09,10.72,0.09
25.00,semiregular,3.00,712.00,297.00,301.00,0.71,0.70,1.41,0.70
26.00,regular,1.00,985.00,47.00,51.00,0.95,0.95,1.05,0.95
26.00,irregular,1.00,213.00,1291.00,1294.00,0.14,0.14,7.04,0.14
26.00,semiregular,1.00,708.00,351.00,357.00,0.67,0.66,1.48,0.67
26.00,regular,2.00,985.00,242.00,247.00,0.80,0.80,1.25,0.80
26.00,irregular,2.00,214.00,1383.00,1388.00,0.13,0.13,7.49,0.13
26.00,semiregular,2.00,711.00,390.00,395.00,0.65,0.64,1.54,0.64
26.00,regular,3.00,985.00,166.00,170.00,0.86,0.85,1.17,0.85
26.00,irregular,3.00,214.00,1390.00,1394.00,0.13,0.13,7.51,0.13
26.00,semiregular,3.00,712.00,359.00,364.00,0.66,0.66,1.49,0.66
27.00,regular,1.00,1156.00,12.00,16.00,0.99,0.99,1.01,0.99
27.00,irregular,1.00,268.00,1800.00,1805.00,0.13,0.13,7.68,0.13
27.00,semiregular,1.00,714.00,281.00,285.00,0.72,0.71,1.37,0.72
