Subject,Gait,Sensor,TP,FP,FN,PPV,Sensitivity,RCA,SDA,,,,
26,semiregular,1,569,110,189,0.837997054,0.750659631,0.9472,0.791927627,,,,
26,regular,2,873,5,215,0.994305239,0.802389706,0.8954,0.88809766,,,,
26,irregular,2,134,623,625,0.177014531,0.17654809,3.5467,0.176781003,,,,
26,semiregular,2,560,99,218,0.849772382,0.719794344,0.9194,0.779401531,,,,
26,regular,3,820,5,323,0.993939394,0.717410324,0.8396,0.833333333,,,,
26,irregular,3,198,574,578,0.256476684,0.255154639,3.6262,0.255813953,,,,
26,semiregular,3,643,93,96,0.873641304,0.870094723,1.0264,0.871864407,,,,
27,regular,1,786,1,756,0.998729352,0.509727626,0.6775,0.674967797,,,,
27,irregular,1,126,738,738,0.145833333,0.145833333,3.2,0.145833333,,,,
27,semiregular,1,418,65,553,0.865424431,0.430484037,0.6662,0.574965612,,,,
27,regular,2,965,1,397,0.998964803,0.708516887,0.8319,0.829037801,,,,
27,irregular,2,168,921,924,0.154269972,0.153846154,4.0444,0.154057772,,,,
27,semiregular,2,592,100,169,0.855491329,0.777923784,0.9547,0.814865795,,,,
27,regular,3,1157,47,49,0.960963455,0.959369818,1.0343,0.960165975,,,,
27,irregular,3,266,757,759,0.26001955,0.259512195,3.7963,0.259765625,,,,
27,semiregular,3,687,103,106,0.869620253,0.866330391,1.0893,0.867972205,,,,
28,regular,1,748,6,691,0.99204244,0.51980542,0.6894,0.682170543,,,,
28,irregular,1,153,831,833,0.155487805,0.155172414,3.3652,0.155329949,,,,
28,semiregular,1,621,91,382,0.872191011,0.619142572,0.8324,0.724198251,,,,
28,regular,2,659,6,869,0.990977444,0.431282723,0.6084,0.601003192,,,,
28,irregular,2,168,976,978,0.146853147,0.146596859,3.9113,0.146724891,,,,
28,semiregular,2,570,76,499,0.882352941,0.533208606,0.7555,0.664723032,,,,
28,regular,3,1066,16,45,0.985212569,0.95949595,0.9882,0.972184223,,,,
28,irregular,3,253,914,916,0.216795201,0.216424294,3.9898,0.216609589,,,,
28,semiregular,3,764,72,116,0.913875598,0.868181818,0.9756,0.89044289,,,,
29,regular,1,805,1,665,0.998759305,0.547619048,0.7105,0.707381371,,,,
29,irregular,1,121,584,585,0.171631206,0.171388102,2.8583,0.171509568,,,,
29,semiregular,1,628,129,350,0.829590489,0.642126789,0.8746,0.723919308,,,,
29,regular,2,792,1,691,0.998738966,0.534052596,0.6991,0.695957821,,,,
29,irregular,2,167,671,673,0.19928401,0.198809524,3.4008,0.199046484,,,,
29,semiregular,2,723,128,161,0.849588719,0.817873303,0.9827,0.833429395,,,,
29,regular,3,1132,50,52,0.957698816,0.956081081,1.0386,0.956889265,,,,
